company_name,company_domain,careers_url,ats_platform,ats_tenant_or_slug,job_board_url,country_or_region_focus,industry,evidence_url,reason_accepted
Benefex,benefex.com,https://benefex.teamtailor.com/jobs,Teamtailor,benefex,https://benefex.teamtailor.com/jobs,Global/UK,Employee benefits technology,https://benefex.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Corndel,corndel.com,https://corndel.teamtailor.com/jobs,Teamtailor,corndel,https://corndel.teamtailor.com/jobs,UK,Education and workforce training,https://corndel.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Frauenthal Gnotec,gnotec.com,https://gnotecunitedstates.teamtailor.com/jobs,Teamtailor,gnotecunitedstates,https://gnotecunitedstates.teamtailor.com/jobs,Europe/US,Automotive and industrial manufacturing,https://gnotecunitedstates.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Pubity Group,pubity.com,https://pubitygroupltd.teamtailor.com/jobs,Teamtailor,pubitygroupltd,https://pubitygroupltd.teamtailor.com/jobs,Global/UK,Media and social publishing,https://pubitygroupltd.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Log my Care,logmycare.co.uk,https://logmycare-1732894388.teamtailor.com/jobs,Teamtailor,logmycare-1732894388,https://logmycare-1732894388.teamtailor.com/jobs,UK,Healthcare software,https://logmycare-1732894388.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Orbit Partners,orbitpartners.com,https://orbitpartners.teamtailor.com/jobs,Teamtailor,orbitpartners,https://orbitpartners.teamtailor.com/jobs,UK/US,Private markets advisory,https://orbitpartners.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Awaceb,awaceb.com,https://awaceb.teamtailor.com/jobs,Teamtailor,awaceb,https://awaceb.teamtailor.com/jobs,Canada/Europe,Video games,https://awaceb.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Qarma,qarmainspect.com,https://qarmainspect.teamtailor.com/jobs,Teamtailor,qarmainspect,https://qarmainspect.teamtailor.com/jobs,Europe/APAC,Supply chain quality software,https://qarmainspect.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
IPF Digital,ipfdigital.com,https://ipfdigital.teamtailor.com/jobs,Teamtailor,ipfdigital,https://ipfdigital.teamtailor.com/jobs,Europe/LATAM/APAC,Fintech and consumer lending,https://ipfdigital.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Softonic,softonic.com,https://softonic.teamtailor.com/jobs,Teamtailor,softonic,https://softonic.teamtailor.com/jobs,Europe,Software marketplace and media,https://softonic.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Truvio,truvio.com,https://truvio.teamtailor.com/jobs,Teamtailor,truvio,https://truvio.teamtailor.com/jobs,Global,Enterprise software,https://truvio.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Opera,opera.com,https://operanorway.teamtailor.com/jobs,Teamtailor,operanorway,https://operanorway.teamtailor.com/jobs,Global,Internet software,https://operanorway.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
CIPFA,cipfa.org,https://cipfa.teamtailor.com/jobs,Teamtailor,cipfa,https://cipfa.teamtailor.com/jobs,UK,Professional body and education,https://cipfa.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Confirma Software,confirmasoftware.com,https://confirmasoftware.teamtailor.com/jobs,Teamtailor,confirmasoftware,https://confirmasoftware.teamtailor.com/jobs,Europe,Business software,https://confirmasoftware.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Synthesized,synthesized.io,https://synthesized.teamtailor.com/jobs,Teamtailor,synthesized,https://synthesized.teamtailor.com/jobs,US/Europe,Data testing software,https://synthesized.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
QOCO Systems,qoco.aero,https://qocosystems.teamtailor.com/jobs,Teamtailor,qocosystems,https://qocosystems.teamtailor.com/jobs,Global/Europe,Aviation software,https://qocosystems.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Interrupt Labs,interruptlabs.co.uk,https://interruptlabs.teamtailor.com/jobs,Teamtailor,interruptlabs,https://interruptlabs.teamtailor.com/jobs,UK/Australia/US,Cybersecurity research,https://interruptlabs.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Skewb,skewb.uk,https://skewb.teamtailor.com/jobs,Teamtailor,skewb,https://skewb.teamtailor.com/jobs,UK,Utilities consulting,https://skewb.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Celebrus Technologies,celebrus.com,https://celebrus.teamtailor.com/jobs,Teamtailor,celebrus,https://celebrus.teamtailor.com/jobs,UK/Global,Customer data and analytics software,https://celebrus.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
swan.io,swan.io,https://swanio.teamtailor.com/jobs,Teamtailor,swanio,https://swanio.teamtailor.com/jobs,Europe,Embedded finance,https://swanio.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
bunny.net,bunny.net,https://bunnynet.teamtailor.com/jobs,Teamtailor,bunnynet,https://bunnynet.teamtailor.com/jobs,Europe/Global,Cloud infrastructure,https://bunnynet.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Return on Investment Ltd,roiltd.co.uk,https://returnoninvestment.teamtailor.com/jobs,Teamtailor,returnoninvestment,https://returnoninvestment.teamtailor.com/jobs,UK/Europe,Automotive marketing services,https://returnoninvestment.teamtailor.com/jobs,Teamtailor board lists active openings and exposes job-specific apply/detail links
Critical Manufacturing,criticalmanufacturing.com,https://apply.workable.com/critical-manufacturing/,Workable,critical-manufacturing,https://apply.workable.com/critical-manufacturing/,Global/Europe,Manufacturing execution software,https://apply.workable.com/critical-manufacturing/,Workable board lists current openings with stable job-specific pages
ARO Marketing,rankings.io,https://apply.workable.com/rankings/,Workable,rankings,https://apply.workable.com/rankings/,US,SEO and digital marketing,https://apply.workable.com/rankings/,Workable board lists current openings with stable job-specific pages
CommonAI C.I.C.,commonai.io,https://apply.workable.com/commonai/,Workable,commonai,https://apply.workable.com/commonai/,UK/Global,AI education nonprofit,https://apply.workable.com/commonai/,Workable board lists current openings with stable job-specific pages
Quandela,quandela.com,https://apply.workable.com/quandela/,Workable,quandela,https://apply.workable.com/quandela/,Europe/Global,Quantum computing,https://apply.workable.com/quandela/,Workable board lists current openings with stable job-specific pages
Native Touch,nativetouch.com,https://apply.workable.com/native-touch-1/,Workable,native-touch-1,https://apply.workable.com/native-touch-1/,Canada,Digital marketing and advertising,https://apply.workable.com/native-touch-1/,Workable board lists current openings with stable job-specific pages
TP-Link Systems,tp-link.com,https://apply.workable.com/tp-link-usa-corp/,Workable,tp-link-usa-corp,https://apply.workable.com/tp-link-usa-corp/,US,Consumer networking hardware,https://apply.workable.com/tp-link-usa-corp/,Workable board lists current openings with stable job-specific pages
Hubble,hubblehq.com,https://apply.workable.com/hubble/,Workable,hubble,https://apply.workable.com/hubble/,UK/Global,Workspace marketplace,https://apply.workable.com/hubble/,Workable board lists current openings with stable job-specific pages
Therefore,therefore.ca,https://apply.workable.com/therefore/,Workable,therefore,https://apply.workable.com/therefore/,Canada,Digital agency and consulting,https://apply.workable.com/therefore/,Workable board lists current openings with stable job-specific pages
Informed Solutions,informed.com,https://apply.workable.com/informed-solutions/,Workable,informed-solutions,https://apply.workable.com/informed-solutions/,UK/Global,Digital transformation services,https://apply.workable.com/informed-solutions/,Workable board lists current openings with stable job-specific pages
Space Inch,spaceinch.com,https://apply.workable.com/spaceinch/,Workable,spaceinch,https://apply.workable.com/spaceinch/,Brazil/Global,Software studio,https://apply.workable.com/spaceinch/,Workable board lists current openings with stable job-specific pages
Keywords Studios,keywordsstudios.com,https://apply.workable.com/keywords-intl1/,Workable,keywords-intl1,https://apply.workable.com/keywords-intl1/,Global,Video game and media services,https://apply.workable.com/keywords-intl1/,Workable board lists current openings with stable job-specific pages
Homa,homagames.com,https://apply.workable.com/homa-games/,Workable,homa-games,https://apply.workable.com/homa-games/,Europe/Global,Mobile games,https://apply.workable.com/homa-games/,Workable board lists current openings with stable job-specific pages
Future Publishing,futureplc.com,https://apply.workable.com/futureplc/,Workable,futureplc,https://apply.workable.com/futureplc/,Global,Media and publishing,https://apply.workable.com/futureplc/,Workable board lists current openings with stable job-specific pages
SAP Fioneer,sapfioneer.com,https://apply.workable.com/fioneer/,Workable,fioneer,https://apply.workable.com/fioneer/,Europe/Global,Financial services software,https://apply.workable.com/fioneer/,Workable board lists current openings with stable job-specific pages
Big Viking Games,bigvikinggames.com,https://apply.workable.com/big-viking-games-3/,Workable,big-viking-games-3,https://apply.workable.com/big-viking-games-3/,Canada,Video games,https://apply.workable.com/big-viking-games-3/,Workable board lists current openings with stable job-specific pages
Selecta,selecta.com,https://apply.workable.com/selecta/,Workable,selecta,https://apply.workable.com/selecta/,UK/Europe,Food services and vending,https://apply.workable.com/selecta/,Workable board lists current openings with stable job-specific pages
fundcraft,fundcraft.lu,https://apply.workable.com/fundcraft/,Workable,fundcraft,https://apply.workable.com/fundcraft/,Europe,Fund administration fintech,https://apply.workable.com/fundcraft/,Workable board lists current openings with stable job-specific pages
ClearCourse,clearcourse.co.uk,https://apply.workable.com/clearcourse-1/,Workable,clearcourse-1,https://apply.workable.com/clearcourse-1/,UK,Business software,https://apply.workable.com/clearcourse-1/,Workable board lists current openings with stable job-specific pages
Papoutsanis,papoutsanis.gr,https://apply.workable.com/papoutsanis-1/,Workable,papoutsanis-1,https://apply.workable.com/papoutsanis-1/,Europe,Personal care manufacturing,https://apply.workable.com/papoutsanis-1/,Workable board lists current openings with stable job-specific pages
Your Retreats,yourretreats.co.uk,https://apply.workable.com/yourretreats/,Workable,yourretreats,https://apply.workable.com/yourretreats/,UK,Hospitality,https://apply.workable.com/yourretreats/,Workable board lists current openings with stable job-specific pages
Modash,modash.io,https://apply.workable.com/modash/,Workable,modash,https://apply.workable.com/modash/,Europe,Influencer marketing software,https://apply.workable.com/modash/,Workable board lists current openings with stable job-specific pages
Tri-Mach Group,tri-mach.com,https://apply.workable.com/tri-mach-group-inc/,Workable,tri-mach-group-inc,https://apply.workable.com/tri-mach-group-inc/,Canada,Manufacturing and automation,https://apply.workable.com/tri-mach-group-inc/,Workable board lists current openings with stable job-specific pages
Lifely,lifely.com.au,https://apply.workable.com/lifely/,Workable,lifely,https://apply.workable.com/lifely/,APAC,Ecommerce and digital services,https://apply.workable.com/lifely/,Workable board lists current openings with stable job-specific pages
Infotel UK,infotel.co.uk,https://apply.workable.com/infotel-uk/,Workable,infotel-uk,https://apply.workable.com/infotel-uk/,UK,IT services,https://apply.workable.com/infotel-uk/,Workable board lists current openings with stable job-specific pages
Teleperformance Spain,teleperformance.es,https://apply.workable.com/teleperformance-spain/,Workable,teleperformance-spain,https://apply.workable.com/teleperformance-spain/,Spain,Customer experience outsourcing,https://apply.workable.com/teleperformance-spain/,Workable board lists current openings with stable job-specific pages
CDC Data Centres,cdc.com.au,https://apply.workable.com/cdc-data-centres/,Workable,cdc-data-centres,https://apply.workable.com/cdc-data-centres/,Australia,Data centers,https://apply.workable.com/cdc-data-centres/,Workable board lists current openings with stable job-specific pages
Prophix,prophix.com,https://apply.workable.com/prophix/,Workable,prophix,https://apply.workable.com/prophix/,Canada/Global,Financial performance software,https://apply.workable.com/prophix/,Workable board lists current openings with stable job-specific pages
Civic,civicuk.com,https://apply.workable.com/civic/,Workable,civic,https://apply.workable.com/civic/,UK,Digital agency,https://apply.workable.com/civic/,Workable board lists current openings with stable job-specific pages
Pearl Abyss Europe,pearlabyss.com,https://apply.workable.com/pearlabyss-europe/,Workable,pearlabyss-europe,https://apply.workable.com/pearlabyss-europe/,Europe,Video games,https://apply.workable.com/pearlabyss-europe/,Workable board lists current openings with stable job-specific pages
First Focus,firstfocus.com.au,https://apply.workable.com/first-focus/,Workable,first-focus,https://apply.workable.com/first-focus/,Australia,Managed IT services,https://apply.workable.com/first-focus/,Workable board lists current openings with stable job-specific pages
PetLab Co.,thepetlabco.com,https://apply.workable.com/petlab-co/,Workable,petlab-co,https://apply.workable.com/petlab-co/,UK/US,Pet health ecommerce,https://apply.workable.com/petlab-co/,Workable board lists current openings with stable job-specific pages
Costa Navarino,costanavarino.com,https://apply.workable.com/costa-navarino/,Workable,costa-navarino,https://apply.workable.com/costa-navarino/,Europe,Hospitality and resorts,https://apply.workable.com/costa-navarino/,Workable board lists current openings with stable job-specific pages
Bauer Media Outdoor,bauermediaoutdoor.co.uk,https://apply.workable.com/bauermediaoutdoor/,Workable,bauermediaoutdoor,https://apply.workable.com/bauermediaoutdoor/,UK,Outdoor advertising,https://apply.workable.com/bauermediaoutdoor/,Workable board lists current openings with stable job-specific pages
ARO Technology,aro.tech,https://apply.workable.com/aro/,Workable,aro,https://apply.workable.com/aro/,UK,IT services,https://apply.workable.com/aro/,Workable board lists current openings with stable job-specific pages
ET Group,etgroup.ca,https://careers.smartrecruiters.com/ETGroup,SmartRecruiters,ETGroup,https://careers.smartrecruiters.com/ETGroup,Canada,Workplace audiovisual technology,https://careers.smartrecruiters.com/ETGroup,SmartRecruiters page lists active openings with job-specific postings
Intelerad,intelerad.com,https://careers.smartrecruiters.com/intelerad,SmartRecruiters,intelerad,https://careers.smartrecruiters.com/intelerad,Global,Medical imaging software,https://careers.smartrecruiters.com/intelerad,SmartRecruiters page lists active openings with job-specific postings
UNLEASH,unleash.ai,https://careers.smartrecruiters.com/UNLEASH,SmartRecruiters,UNLEASH,https://careers.smartrecruiters.com/UNLEASH,UK/Global,HR media and events,https://careers.smartrecruiters.com/UNLEASH,SmartRecruiters page lists active openings with job-specific postings
Ayming,ayming.com,https://careers.smartrecruiters.com/Ayming,SmartRecruiters,Ayming,https://careers.smartrecruiters.com/Ayming,Canada/Global,Business consulting,https://careers.smartrecruiters.com/Ayming,SmartRecruiters page lists active openings with job-specific postings
Cielo,cielotalent.com,https://careers.smartrecruiters.com/Cielo2,SmartRecruiters,Cielo2,https://careers.smartrecruiters.com/Cielo2,Global,Recruitment process outsourcing,https://careers.smartrecruiters.com/Cielo2,SmartRecruiters page lists active openings with job-specific postings
Transat,transat.com,https://careers.smartrecruiters.com/TransatAT1/eng,SmartRecruiters,TransatAT1,https://careers.smartrecruiters.com/TransatAT1/eng,Canada,Travel and airline,https://careers.smartrecruiters.com/TransatAT1/eng,SmartRecruiters page lists active openings with job-specific postings
MUFG Investor Services,mufg-investorservices.com,https://careers.smartrecruiters.com/mufginvestorservices,SmartRecruiters,mufginvestorservices,https://careers.smartrecruiters.com/mufginvestorservices,Global,Financial services,https://careers.smartrecruiters.com/mufginvestorservices,SmartRecruiters page lists active openings with job-specific postings
EMCO Corporation,emco.ca,https://careers.smartrecruiters.com/EMCOCorporation,SmartRecruiters,EMCOCorporation,https://careers.smartrecruiters.com/EMCOCorporation,Canada,Plumbing and HVAC distribution,https://careers.smartrecruiters.com/EMCOCorporation,SmartRecruiters page lists active openings with job-specific postings
Minor Hotels,minorhotels.com,https://careers.smartrecruiters.com/minorinternational/minor-hotels-careers,SmartRecruiters,minorinternational,https://careers.smartrecruiters.com/minorinternational/minor-hotels-careers,Global/APAC,Hospitality,https://careers.smartrecruiters.com/minorinternational/minor-hotels-careers,SmartRecruiters page lists active openings with job-specific postings
Canadian Centre for Architecture,cca.qc.ca,https://careers.smartrecruiters.com/CCA1/careers,SmartRecruiters,CCA1,https://careers.smartrecruiters.com/CCA1/careers,Canada,Museum and cultural institution,https://careers.smartrecruiters.com/CCA1/careers,SmartRecruiters page lists active openings with job-specific postings
Supple,supple.com.au,https://careers.smartrecruiters.com/Supple1,SmartRecruiters,Supple1,https://careers.smartrecruiters.com/Supple1,Australia,Digital marketing agency,https://careers.smartrecruiters.com/Supple1,SmartRecruiters page lists active openings with job-specific postings
Intellihub,intellihub.com.au,https://careers.smartrecruiters.com/Intellihub1,SmartRecruiters,Intellihub1,https://careers.smartrecruiters.com/Intellihub1,Australia/New Zealand,Smart metering and energy technology,https://careers.smartrecruiters.com/Intellihub1,SmartRecruiters page lists active openings with job-specific postings
Egale Canada,egale.ca,https://careers.smartrecruiters.com/EgaleCanada,SmartRecruiters,EgaleCanada,https://careers.smartrecruiters.com/EgaleCanada,Canada,Nonprofit advocacy and education,https://careers.smartrecruiters.com/EgaleCanada,SmartRecruiters page lists active openings with job-specific postings
Analysys Mason,analysysmason.com,https://careers.smartrecruiters.com/AnalysysMason1,SmartRecruiters,AnalysysMason1,https://careers.smartrecruiters.com/AnalysysMason1,Europe/Global,Telecoms and technology consulting,https://careers.smartrecruiters.com/AnalysysMason1,SmartRecruiters page lists active openings with job-specific postings
Lumi,lumi.com.au,https://careers.smartrecruiters.com/Lumi,SmartRecruiters,Lumi,https://careers.smartrecruiters.com/Lumi,Australia,Fintech and business lending,https://careers.smartrecruiters.com/Lumi,SmartRecruiters page lists active openings with job-specific postings
S&R Group of Companies,srgroup.ca,https://careers.smartrecruiters.com/SRGroupOfCompanies,SmartRecruiters,SRGroupOfCompanies,https://careers.smartrecruiters.com/SRGroupOfCompanies,Canada,Long-term care and healthcare,https://careers.smartrecruiters.com/SRGroupOfCompanies,SmartRecruiters page lists active openings with job-specific postings
INFICON,inficon.com,https://careers.smartrecruiters.com/inficon2,SmartRecruiters,inficon2,https://careers.smartrecruiters.com/inficon2,Global,Industrial instrumentation,https://careers.smartrecruiters.com/inficon2,SmartRecruiters page lists active openings with job-specific postings
Chandos Construction,chandos.com,https://careers.smartrecruiters.com/chandos,SmartRecruiters,chandos,https://careers.smartrecruiters.com/chandos,Canada,Construction,https://careers.smartrecruiters.com/chandos,SmartRecruiters page lists active openings with job-specific postings
EvenUp,evenuplaw.com,https://jobs.ashbyhq.com/evenup,Ashby,evenup,https://jobs.ashbyhq.com/evenup,US/Canada,Legal technology,https://jobs.ashbyhq.com/evenup,Ashby board lists active openings and stable job/application URLs
TensorWave,tensorwave.com,https://jobs.ashbyhq.com/tensorwave,Ashby,tensorwave,https://jobs.ashbyhq.com/tensorwave,US,AI cloud infrastructure,https://jobs.ashbyhq.com/tensorwave,Ashby board lists active openings and stable job/application URLs
Virtuous,virtuous.org,https://jobs.ashbyhq.com/virtuous,Ashby,virtuous,https://jobs.ashbyhq.com/virtuous,US,Nonprofit CRM software,https://jobs.ashbyhq.com/virtuous,Ashby board lists active openings and stable job/application URLs
Reflect Orbital,reflectorbital.com,https://jobs.ashbyhq.com/reflect-orbital,Ashby,reflect-orbital,https://jobs.ashbyhq.com/reflect-orbital,US,Space and energy technology,https://jobs.ashbyhq.com/reflect-orbital,Ashby board lists active openings and stable job/application URLs
Karman Industries,karmanindustries.com,https://jobs.ashbyhq.com/Karman%20Industries,Ashby,Karman Industries,https://jobs.ashbyhq.com/Karman%20Industries,US,Industrial manufacturing,https://jobs.ashbyhq.com/Karman%20Industries,Ashby board lists active openings and stable job/application URLs
Klim,klim.eco,https://jobs.ashbyhq.com/klim,Ashby,klim,https://jobs.ashbyhq.com/klim,Europe,Climate and agriculture technology,https://jobs.ashbyhq.com/klim,Ashby board lists active openings and stable job/application URLs
Lydian,lydian.co,https://jobs.ashbyhq.com/lydian,Ashby,lydian,https://jobs.ashbyhq.com/lydian,US,Climate technology,https://jobs.ashbyhq.com/lydian,Ashby board lists active openings and stable job/application URLs
OLIX,olix.eco,https://jobs.ashbyhq.com/olix,Ashby,olix,https://jobs.ashbyhq.com/olix,UK,Climate and manufacturing technology,https://jobs.ashbyhq.com/olix,Ashby board lists active openings and stable job/application URLs
Statista,statista.com,https://jobs.ashbyhq.com/statista,Ashby,statista,https://jobs.ashbyhq.com/statista,Global/Europe,Market data and media,https://jobs.ashbyhq.com/statista,Ashby board lists active openings and stable job/application URLs
Radiant Industries,radiantnuclear.com,https://jobs.ashbyhq.com/radiant-industries,Ashby,radiant-industries,https://jobs.ashbyhq.com/radiant-industries,US,Clean energy,https://jobs.ashbyhq.com/radiant-industries,Ashby board lists active openings and stable job/application URLs
Cradle,cradle.bio,https://jobs.ashbyhq.com/cradlebio,Ashby,cradlebio,https://jobs.ashbyhq.com/cradlebio,US/Europe,Biotechnology software,https://jobs.ashbyhq.com/cradlebio,Ashby board lists active openings and stable job/application URLs
Nira Medical,niramedical.com,https://jobs.ashbyhq.com/niramedical,Ashby,niramedical,https://jobs.ashbyhq.com/niramedical,US,Healthcare,https://jobs.ashbyhq.com/niramedical,Ashby board lists active openings and stable job/application URLs
Molg,molg.ai,https://jobs.ashbyhq.com/Molg,Ashby,Molg,https://jobs.ashbyhq.com/Molg,US,Robotics and circular manufacturing,https://jobs.ashbyhq.com/Molg,Ashby board lists active openings and stable job/application URLs
Pontiva Healthcare Partners,pontivahp.com,https://jobs.ashbyhq.com/pontivahp,Ashby,pontivahp,https://jobs.ashbyhq.com/pontivahp,US,Healthcare operations,https://jobs.ashbyhq.com/pontivahp,Ashby board lists active openings and stable job/application URLs
METR,metr.org,https://jobs.lever.co/metr,Lever,metr,https://jobs.lever.co/metr,US,AI safety research,https://jobs.lever.co/metr,Lever board/detail pages expose stable job-specific URLs and application flow
Kobie Marketing,kobie.com,https://jobs.lever.co/kobie,Lever,kobie,https://jobs.lever.co/kobie,US/India,Loyalty marketing technology,https://jobs.lever.co/kobie,Lever board/detail pages expose stable job-specific URLs and application flow
Tali AI,tali.ai,https://jobs.lever.co/11855760-canada-inc,Lever,11855760-canada-inc,https://jobs.lever.co/11855760-canada-inc,Canada,Healthcare AI,https://jobs.lever.co/11855760-canada-inc,Lever board/detail pages expose stable job-specific URLs and application flow
PocketHealth,pockethealth.com,https://jobs.lever.co/PocketHealth,Lever,PocketHealth,https://jobs.lever.co/PocketHealth,Canada/US,Health technology,https://jobs.lever.co/PocketHealth,Lever board/detail pages expose stable job-specific URLs and application flow
Patrick J. McGovern Foundation,mcgovern.org,https://jobs.lever.co/mcgovern,Lever,mcgovern,https://jobs.lever.co/mcgovern,US/Global,Philanthropy and nonprofit,https://jobs.lever.co/mcgovern,Lever board/detail pages expose stable job-specific URLs and application flow
Verdigris,verdigris.co,https://jobs.lever.co/verdigris,Lever,verdigris,https://jobs.lever.co/verdigris,US,Energy analytics,https://jobs.lever.co/verdigris,Lever board/detail pages expose stable job-specific URLs and application flow
OpenPayd,openpayd.com,https://jobs.lever.co/OpenPayd,Lever,OpenPayd,https://jobs.lever.co/OpenPayd,Europe,Payments and fintech,https://jobs.lever.co/OpenPayd,Lever board/detail pages expose stable job-specific URLs and application flow
Serverfarm,serverfarmllc.com,https://jobs.lever.co/serverfarm,Lever,serverfarm,https://jobs.lever.co/serverfarm,US/Canada/UK,Data centers,https://jobs.lever.co/serverfarm,Lever board/detail pages expose stable job-specific URLs and application flow
